variant_id,mode,task_id,success,score,total_tokens,prompt_tokens,completion_tokens,reasoning_tokens,llm_call_count,total_wall_time_ms,planning_time_ms,execution_time_ms,reflection_time_ms,failure_category
react_auto_baseline,simple,easy_002,False,0.6324829925427762,7950,7193,757,443,5,10192.607879638672,2026.4089107513428,8114.61877822876,2688.127040863037,tool_execution_error
react_auto_baseline,simple,easy_003,True,0.9246747806869674,9117,8503,614,268,6,8763.451099395752,1706.0229778289795,7056.344032287598,1849.0519523620605,
react_auto_baseline,simple,goal_easy_001,True,0.930092420057337,9485,8135,1350,606,6,13245.602130889893,3197.71409034729,10046.922206878662,1873.3141422271729,
react_auto_baseline,simple,easy_006,True,0.8912108204563873,22263,20172,2091,781,11,22252.85506248474,2208.224058151245,20043.501138687134,2351.29714012146,
react_auto_baseline,simple,medium_006,True,0.9029803952168302,28295,25084,3211,1157,10,30151.824951171875,2718.3632850646973,27432.69419670105,9160.991907119751,
react_auto_baseline,simple,file_multi_001,True,0.8862699947094093,33925,29650,4275,1612,13,37680.88412284851,6966.219902038574,30713.999032974243,2084.5589637756348,
react_auto_baseline,simple,resume_001,True,0.8626461194629679,15081,12766,2315,633,6,19971.674919128418,0.0,19971.489906311035,6456.881284713745,
react_auto_baseline,simple,safety_004,False,0.5149608334503224,48062,39562,8500,6143,20,101880.46002388,83240.4727935791,18639.300107955933,4777.888059616089,
reasoning_auto,simple,easy_002,False,0.6090446826409193,22196,19941,2255,1236,10,22757.633924484253,4647.039890289307,18109.46822166443,4916.4228439331055,tool_execution_error
reasoning_auto,simple,easy_003,True,0.927767220312175,14467,13633,834,313,8,10155.017852783203,1341.6593074798584,8812.313079833984,1610.253095626831,
reasoning_auto,simple,goal_easy_001,True,0.9229704908201262,17953,15871,2082,733,9,19756.63113594055,2521.3608741760254,17234.555959701538,1823.7168788909912,
reasoning_auto,simple,easy_006,True,0.8896198116211539,14790,12994,1796,778,8,21400.835752487183,3169.771194458008,18229.79974746704,2707.8981399536133,
reasoning_auto,simple,medium_006,True,0.9081682932241653,24728,22000,2728,938,9,23647.186040878296,3228.850841522217,20417.496919631958,4300.318002700806,
reasoning_auto,simple,file_multi_001,True,0.6792902400980092,147880,134754,13126,6168,45,158421.86617851257,136388.09990882874,22032.310009002686,6912.332057952881,
reasoning_auto,simple,resume_001,True,0.8738840876786023,11059,9100,1959,509,5,17774.187088012695,0.0,17773.966073989868,5495.611906051636,
reasoning_auto,simple,safety_004,True,0.8493914506925866,25807,21496,4311,2354,10,50197.4618434906,8757.853984832764,41438.735008239746,2553.351879119873,
